№ автостоянки;Тип Автостоянки;Район города;Название Автостоянки;Площадь участка м.кв.;Количество машиномест;Точный адрес
"2";"Перехватывающая";" Выборгский";"у ст. метро Парнас";"4804";"184";"посёлок Парголово, 3-й верхний переулок, участок 16 (северо-восточнее д. 162 лит.Р по проспекту Энгельса)"
"34";"Перехватывающая";" Выборгский";"у ст.метро Проспект Просвещения";"1319";"43";"пр. Просвещения, участок 119 (напротив дома 30, кор. 1)"
"3";"Перехватывающая";"Калининский";"у ст.метро Гражданский проспект";"1423";"50";"пр-кт. Гражданский, участок 11, (северо-западнее дома 116, корпус 1)"
"5";"Перехватывающая";"Калининский";"у ст.метро Политехническая";"1413";"61";"Политехническая ул., участок 8 (западнее д. 29, лит. П по Политехнической ул.)"
"13";"Перехватывающая";"Кировский";"у ст.метро Кировский завод";"2722";"72";"проспект Стачек, у дома 47 лит. Ф"
"31";"Перехватывающая";"Кировский";"у ст.метро Ленинский проспект";"5814";"190";"пр. Народного Ополчения, участок 137 (у дома 16), напротив дома 21"
"22";"Перехватывающая";"Красногвардейский";"у ст.метро Ладожская";"7200";"235";"Заневский пр., у дома 65, лит. А, участок 30"
"4";"Перехватывающая";"Московский";"у ст.метро Купчино";"2482";"93";"Витебский проспект, участок 1 (юго-восточнее пересечения с Звездной улицей)"
"36";"Перехватывающая";"Невский";"у ст.метро Обухово";"9764";"330";"ул. Грибакиных, участок 115 (восточнее дома 27 лит.А)"
"1";"Перехватывающая";"Приморский";"у ст. метро Пионерская";"5011";"90";""пр. Испытателей, уч. 81 (юго-западнее дома 5, корпус 2, литера А) и уч. 47 (северо-восточнее пересечения с Коломяжским пр.)""
"28";"Перехватывающая";"Фрунзенский";"у ст.метро Волковская";"4040";"151";"Касимовская ул., участок 2 (напротив дома 10 по Касимовской улице)"
"18/33";"Перехватывающая";"Центральный";"у ст.метро Пл. Александра Невского";"5590";"151";"Синопская набережная, участок 10 (у дома 30)"
"32";"Социальная";"Василеостровский";"на Морской набережной";"2820";"97";"Морская набережная, уч. 51 (напротив дома 41, корпус 1, литера А)"
"6";"Социальная";"Кировский";"на проспекте Маршала Жукова";"2976";"124";"проспект Маршала Жукова, участок 149 (напротив дома 3, корпус 1)"
"27";"Социальная";"Кировский";"на проспекте Народного Ополчения";"3000";"92";"проспект Народного Ополчения, участок 134 (напротив дома 179)"
"7";"Социальная";"Красногвардейский";"на улице Коммуны";"3496";"97";"улица Комунны, участок 67 (северо-восточнее дома 16, литер А)"
"23";"Социальная";"Московский";"на Кубинской улице";"6274";"250";"Кубинская улица, участок 131 (юго-восточнее дома 79, литера Б)          Кубинская улица, участок 132 (юго-восточнее дома 79, литера Б)"
"25";"Социальная";"Московский";"на 5-м Предпортовом проезде";"7008";"288";"5-й Предпортовый проезд, участок 104 (напротив дома 86, литера А по Кубинской улице)"
"8";"Социальная";"Приморский";"на Оптиков 43";"2639";"22";"Оптиков, участок №43 (северо-восточнее ул. Туристской)"
"9";"Социальная";"Приморский";"на Оптиков 44";"2500";"19";"Оптиков, участок №44 (северо-западнее ул. Яхтеной)"
"26";"Коммерческая";"Кировский";"на улице Генерала Симоняка";"2045";"57";"улица Генерала Симоняка, участок 110 (у дома 7)"
"10";"Коммерческая";"Центральный";"на пл. Восстания";"1240";"42";"Лиговский проспект, уч. 1 (южнее пересечения с переулком Ульяны Громовой)"
"12";"Коммерческая";"Центральный";"у БКЗ "Октябрьский"";"2821";"84";"Греческая площадь, уч. 1 (северо-западнее дома 6, литера А по Лиговскому проспекту)"
"14";"Коммерческая";"Центральный";"на пл. Островского";"1300";"41";"площадь Островского, участок 10 (с западной стороны от здания Александринского театра)"
"29";"Коммерческая";"Центральный";"на 1-я Советской улице";"2298";"63";"1-я Советская улица, участок 2 (от дома 1/4, литера А по Орловскому переулку до середины дома 126/2, литера А по Невскому проспекту)"
